"Road_Segment,Accident"
"GRI93Z2,94"
"B9V4IAJ,66"
"8LOVJZ3,919"
"Q03FQ74,535"
"7EHES8A,121"
"9PORL0H,152"
"C1ERJ22,24"
"31F34EZ,32"
"XPEXW89,20"
"P36URXV,170"
"P0XX6RS,235"
"PD4MTSH,165"
"IY03OM4,26"
"OHQYM1R,33"
"VBUCV9N,12"
"UAXX1ZE,5"
"NRWU3QW,33"
"5PYA0N2,81"
"EKVTVMV,19"
"S7S8GMD,58"
"5093ZHY,101"
"Q0VL8BD,653"
"1QSGDUE,50"
"AJRKP0C,544"
"LNO3W8J,137"
"I8VWS8W,95"
"Q2V2552,85"
"KVOVDD8,5"
"Z4VBV3L,5"
"7O594ZJ,3"
"6BNXT5I,14"
"5OR8UGL,62"
"GH5QX19,1"
"2ON8NSO,1"
"FTX7LB8,104"
"MEOYV3B,122"
"MTPU2BE,52"
"WL17NEO,1597"
"9WPSDH2,21"
"NL4FSPV,30"
"R6JUSZT,252"
"MM6HDEQ,216"
"74CTTH5,513"
"YGRV6SD,32"
"VODEAWO,60"
"1NG8I9K,4"
"O271SQN,226"
"UB5HE92,8"
"WJBR1L2,14"
"5DHNI4S,300"
"0QR8FDW,275"
"2BTEHF3,41"
"IQEYE3S,80"
"WAC029P,8"
"OFAXGKF,109"
"KL4UM68,122"
"OVJNYB2,138"
"XNUEEZN,155"
"WUGV4DU,316"
"RO046L9,51"
"XS7M5WZ,76"
"AQW5HO1,141"
"AZ1BUKH,15"
"T1DB85Y,55"
"CCMG98M,147"
"JCFWX6E,17"
"LUOD99L,8"
"IEBUIXM,268"
"6CP0S10,39"
"WPD6G14,5"
"KDFE19M,5"
"XBYNXP7,15"
"GLFV0XV,2"
"IUTMY1U,24"
"5QOCGMJ,3"
"DZABHQW,38"
"2XKQDM5,10"
"92BILMX,7"
"DS4NLQE,1"
"RY0TRQ8,40"
"1DDYC6F,90"
"V1BNX3D,198"
"WRJK3P3,19"
"DD8YXZF,6"
"YM2J7ZE,11"
"3GCD5AD,25"
"TC7A716,90"
"VO6FQAZ,41"
"VU4GFO5,8"
"HFQZU6J,5"
"H983665,1"
"ZP9STNM,1"
"M4U0X5G,9"
"8MX4B9C,30"
"BN3EJU4,15"
"B6D0HHC,40"
"XB2TN3V,2"
"5OV4U4C,107"
"BDDVLQE,57"
"IQS1GLY,43"
"P7RBBFB,61"
"YEWTYV9,16"
"RYJYAPI,76"
"QDRC5UW,69"
"ZL4WLO2,20"
"UXERJVK,112"
"N90YL69,230"
"M43AKN2,92"
"7T2W8WU,5"
"4T821GV,1"
"MC84I0T,8"
"PV3AVCT,9"
"OCR113O,64"
"TD8YB0R,137"
"BG1AFJU,134"
"AEY24LO,19"
"F055OA5,7"
"0ICKV72,41"
"UUZT4OE,27"
"2M4LCU0,228"
"PXI00H9,14"
"T64WM0N,4"
"8FIZY1M,190"
"8WHR0ZV,7"
"6VRO5T2,20"
"YF1XDKK,312"
"JY8VL6C,65"
"TKB7K8T,25"
"MP664QK,49"
"K27GB0B,13"
"M3INBBC,592"
"XINDPM1,298"
"2B7HTHS,239"
"WWFC10X,46"
"TK9DSXW,97"
"NG4X2MD,17"
"327YML6,10"
"MX8CVMX,463"
"L4CWZBU,8"
"GPYNUA8,25"
"MORJH71,53"
"T14JPJU,2"
"VUYACXV,61"
"1BJRIL1,49"
"FWO1XRQ,19"
"DMGFH2Z,28"
"CZBWW0Z,435"
"6A90XDM,91"
"Z2I5UQC,11"
"N5NO82G,161"
"V19MLWF,14"
"PRUSMVO,7"
"ZFMKTPH,18"
"QXDLKB7,12"
"IV5F6YM,251"
"N1MTRIJ,20"
"W0EUG1C,46"
"ZCX0S5O,9"
"V4ITGH1,35"
"G850GMA,15"
"GZ48XRL,205"
"QFRMXC4,97"
"SY568EU,2"
"P9PBFAJ,114"
"J8FAZRB,9"
"LXZFSP3,36"
"GMEHC97,6"
"5HTE1IC,29"
"XZZ3D4U,83"
"4K39AFD,224"
"4HHV563,181"
"KL3QK6O,3"
"YQCBO2Y,105"
"LG58LKX,18"
"5VK3U7Q,14"
"F1LYCFO,56"
"YSM1T15,7"
"S0B3CGQ,181"
"BUJJNEA,4"
"87Z5O7Q,221"
"9HDQLZ0,60"
"LUOEP7G,15"
"B3XNGYS,12"
"3NAG1R5,26"
"VVJ158O,51"
"T7XSLG6,3"
"EVFKBUY,11"
"7YTZ0EM,39"
"FVZ3HQS,41"
"3A5K1RU,14"
"LK5JIX6,20"
"BL0PD9J,220"
"KVQ5DMG,1"
"2Q8T4YB,32"
"Q54XDYI,2"
"SNTDQP9,7"
"SE831U7,832"
"EZG7A38,267"
"I6G60AH,1"
"UY59I9M,847"
"3QSXJH3,19"
"8LSZDSC,15"
"NQSL7FX,17"
"WOSAB94,30"
"LAZLJ7E,11"
"UEP9HM4,202"
"LFUJ30W,33"
"68KOZH6,16"
"NFUEAN5,3"
"D7SS5LM,49"
"DRI712Q,205"
"GUA17R4,280"
"4A66E8Q,52"
"K2E55RT,94"
"ON7Z6I0,196"
"DRFEFT4,86"
"75BPNAM,155"
"5Y5V87D,53"
"0TAWLCK,11"
"8ITYQ2Z,336"
"S2QPOTD,153"
"PCIQQ7E,159"
"BC5XKSB,199"
"3IQ1GWG,40"
"2MHBCT2,9"
"S200A1J,149"
"JW0WKQ9,551"
"0OH5J23,35"
"NFEBWR6,20"
"SUP29NG,249"
"P66KAPS,1"
"VWOSZKP,79"
"4K0TGLP,510"
"LV4XGT5,38"
"GO93XEE,77"
"7AKUBY4,670"
"MA3ZWVH,80"
"I2POO7A,1"
"5AC6YRF,93"
"G5UHNNF,2"
"C62YWEF,4"
"47SP0JH,6"
"XTTWKZM,51"
"16WNX7T,78"
"Y4B7JOT,16"
"KTXRGNX,5"
"UHFPI9X,16"
"MQE3R88,4"
"E5D3KEB,185"
"S4MOE5G,10"
"SQ3W7J8,21"
"HM3QRDM,101"
"YU41XSB,18"
"V5PX6ZH,64"
"W70WUF7,1065"
"GDVJYQW,619"
"6EAJWW6,18"
"PH8DIYU,2"
"H8R7OJ2,15"
"IMJY7S7,86"
"QTT8QNT,7"
"LO1OZJ0,220"
"J0SM52K,537"
"AAS3KXB,32"
"3WK9HI2,34"
"IH75D0V,3"
"XHKKOUG,47"
"24P30PE,25"
"VI1GKEJ,1"
"V5A8ZZZ,48"
"VXS8NZ1,101"
"WVXBO5X,5"
"1K4ZYII,324"
"0GZ5KS3,94"
"REN8XE5,34"
"YNCIDMW,15"
"EJUD4D6,7"
"K48Y5T9,222"
"D1U6OOF,168"
"FSOOCGH,410"
"EIIZE13,114"
"B8NRA4K,2"
"JNEJVKK,63"
"8EI7FOX,2"
"9VXCPYN,8"
"927BHUF,435"
"IK67XHB,48"
"C3K236I,5"
"PDDTLDP,29"
"6OTRJQF,405"
"0QQIE2L,328"
"AEDN7D7,437"
"1BB1WRK,250"
"TBYQ54D,35"
"6SV0XZ0,35"
"PLZ8PGL,502"
"EPX268G,13"
"727J2TV,135"
"Z4HC8K2,61"
"MFUUB92,2"
"1VFLTND,85"
"TRTR582,2"
"H48JVZQ,31"
"XTC73NQ,32"
"6Q68JYJ,8"
"0PU7VDI,3"
"C6JTJJC,36"
"KNG6Z86,29"
"AUFDV1E,3"
"9EXF4O5,5"
"J151TEQ,49"
"P5N4Z0R,6"
"WG6X4Y0,597"
"RB56HQI,11"
"XKFABCI,39"
"4SJWPE0,116"
"1JRNIP6,41"
"1S5XWTK,12"
"JZGFZ7Z,3"
"WS0J1CU,161"
"WHW1BZK,100"
"CJJI1XY,2"
"5QTO800,55"
"3L7MZUR,11"
"U3KP57C,170"
"BK0B4IL,35"
"C6E7KMD,12"
"8YJIRQ2,4"
"3ZQNS8O,13"
"7QBQK9L,532"
"F8OXXG7,37"
"J7MH0RF,6"
"Q75ZW1Q,8"
"HSJ0WM7,174"
"OCFS8ZD,24"
"JUJL6W1,13"
"LC8FONX,4"
"77YRHPV,21"
"H7OMXI9,6"
"VHGABXK,58"
"H8PYLH4,122"
"D5DGOZ9,15"
"6K0F6S9,4"
"GU8ECHB,15"
"KFYGRO8,5"
"9DFWVJX,5"
"2FN9T8O,19"
"YQRHLO2,22"
"HIUQ2RB,17"
"FUPJ3Q2,16"
"LRCHHQJ,2"
"M223F8G,84"
"HB933EE,38"
"XOCWI97,447"
"T182CUC,348"
"LLGN7DY,18"
"G5753GU,22"
"H9XYX9Q,273"
"G181X8F,23"
"DVQD3DE,59"
"IKN5JDM,9"
"8PA0RQ9,151"
"3VORNT0,79"
"3MW0MN9,41"
"G98H7FR,196"
"WTTU2KQ,31"
"87QMHBI,4"
"GWTSM5V,21"
"Q2HCM1O,2"
"YVR8GT6,1"
"I25JSGF,2"
"2NHF7YC,58"
"H9QJECU,668"
"XFMDDJ7,3"
"GVQD9D6,4"
"HL23AIZ,13"
"YMQX3CJ,49"
"WELMR24,17"
"DCB3LQM,171"
"SPPGKO2,12"
"N9A4I1K,4"
"RWSJ6AY,8"
"9FQFQ91,2"
"9LMPLRW,8"
"9NXZ103,39"
"YLQRLAD,202"
"HH4TZKC,20"
"8PK91S2,33"
"70OVULT,40"
"G2LL3S8,41"
"ZQJNJPJ,1"
"1RWEBRU,357"
"GNGA5AC,168"
"0ROEFOK,70"
"CK5WH39,11"
"8FBHDH2,207"
"1451FOG,1"
"OWCF2MH,39"
"OBXISZN,154"
"6BYSPD6,328"
"F14EJLW,29"
"0B0QOEN,153"
"VPNLAYY,77"
"6LJRHZ3,546"
"WJXP54Z,7"
"1Q44FGG,622"
"EDXK0HP,41"
"7PRTR79,181"
"SJUWTEK,4"
"DRNRL0M,773"
"J2L78G3,3"
"YAPO4I4,52"
"F53D1DI,274"
"6E6M9NN,3"
"2YQQ9WS,274"
"WLFBY9T,11"
"QUHOO8R,58"
"50TVADD,112"
"L6EU3EB,26"
"W8VXVR4,1"
"43RCYZH,1"
"7HICT0R,100"
"SQ0TZ3H,12"
"QM4QKAZ,64"
"HN83F3L,212"
"DUKT4RG,35"
"RZK0UM0,36"
"SSS7BK6,105"
"F5UCVMI,78"
"QBSA1OR,10"
"JT4HGZ2,69"
"J6A19TW,1"
"QORS7OP,442"
"5XWBAKZ,73"
"FHYWZ07,60"
"M2KOUEK,31"
"JTY12HG,4"
"SJ29DQW,3"
"ZAVM3PJ,1"
"A3B2HGD,29"
"792705Z,214"
"JJGXEJ4,46"
"8VPPU5N,35"
"PRRLPFL,67"
"71YNY81,38"
"NZUF7M4,10"
"S55R1TY,49"
"UABQ9EK,69"
"F47NAGJ,1"
"9484GS3,26"
"VTJ1O97,6"
"4ZR4GL4,155"
"D3349RH,2"
"64QSPWU,1"
"MRQ81XJ,57"
"HNEAFHF,9"
"MRHTO2C,17"
"B1VWF3B,34"
"Q7OLWGV,6"
"XTZ54JY,13"
"X17ILML,3"
"0FF63NM,4"
"L2X64FB,139"
"956JU5F,3"
"YGKOTWP,2"
"0TMS99B,47"
"96FMXIF,35"
"044ZYVD,31"
"TONSERE,53"
"2M1UBKJ,71"
"ZT6MOAL,24"
"E4L0I98,3"
"93GA3XB,733"
"93O3U6U,58"
"086LLYS,24"
"8Z5P9T1,40"
"ETFFDX5,115"
"812PNMZ,54"
"FKBUC13,124"
"V59S0GZ,306"
"GBN0X51,12"
"3YS1KQ9,111"
"0W39BFY,105"
"396D4HI,102"
"NCMIGB7,3"
"EKZN1VM,51"
"OD60AK9,31"
"QVZKPQD,203"
"GX2UELI,25"
"JKTV1QW,55"
"4NSOFJG,1"
"ULMQMUT,10"
"HR19LL7,1"
"CTB99FS,39"
"MPGNI7M,103"
"49ZDYOH,55"
"UCJGSIW,24"
"Z2OSI9E,342"
"CRAU339,20"
"Q17B8NG,17"
"4KQ8VO6,7"
"0F3OY57,17"
"ASFER6E,151"
"XW393UI,12"
"4UAL23D,3"
"EK3DHQ6,76"
"3BMH2Q5,36"
"X4UA382,196"
"HQ54B8O,323"
"JRZWRIW,88"
"A0RUUQL,138"
"TBPN1BF,15"
"Y5Z7TXB,16"
"89VZ0E3,38"
"EVANFZB,37"
"SG89YSS,10"
"XYFQJ1Q,1"
"C6FASR5,7"
"IXSLKS7,248"
"GFX7S4B,395"
"Z13SS1G,190"
"1G21L7Q,328"
"2J6C2D5,23"
"EUXS47I,28"
"VMCY8BI,33"
"XO4JYNU,241"
"WE8VOFH,134"
"YEDB2ES,287"
"8SB405D,14"
"C0RCCDP,3"
"SZJISW0,113"
"CJ0BLSW,48"
"A31P11M,65"
"ICNJ23X,9"
"03RHJ3G,587"
"74A6FL0,95"
"X9J910I,44"
"MJ9YER2,438"
"LO3764F,222"
"S9PC5LR,20"
"AGD8UQ2,28"
"WO118LR,37"
"Q9S9V3Q,11"
"K3N8ADC,9"
