SegmentId,length_1
03RHJ3G,528.544
044ZYVD,590.558
086LLYS,430.272
0B0QOEN,513.522
0F3OY57,569.263
0FF63NM,587.969
0GZ5KS3,518.047
0ICKV72,569.263
0OH5J23,582.036
0PU7VDI,569.263
0QQIE2L,516.039
0QR8FDW,447.393
0ROEFOK,533.597
0TAWLCK,506.654
0TMS99B,479.043
0W39BFY,506.654
1451FOG,587.969
16WNX7T,569.132
1BB1WRK,487.419
1BJRIL1,487.413
1DDYC6F,365.121
1G21L7Q,487.413
1JRNIP6,569.132
1K4ZYII,496.859
1NG8I9K,521.945
1Q44FGG,382.55
1QSGDUE,364.528
1RWEBRU,432.39
1S5XWTK,564.661
1VFLTND,521.945
24P30PE,582.036
2B7HTHS,476.405
2BTEHF3,569.132
2FN9T8O,555.17
2J6C2D5,569.132
2M1UBKJ,493.974
2M4LCU0,521.765
2MHBCT2,523.482
2NHF7YC,552.042
2ON8NSO,350.749
2Q8T4YB,493.974
2XKQDM5,461.653
2YQQ9WS,474.722
31F34EZ,592.25
327YML6,350.749
396D4HI,449.287
3A5K1RU,587.969
3BMH2Q5,311.522
3GCD5AD,569.263
3IQ1GWG,569.263
3L7MZUR,569.263
3MW0MN9,521.945
3NAG1R5,523.482
3QSXJH3,569.132
3VORNT0,565.948
3WK9HI2,521.945
3YS1KQ9,584.9
3ZQNS8O,565.948
43RCYZH,575.848
47SP0JH,574.917
49ZDYOH,471.207
4A66E8Q,504.848
4HHV563,513.522
4K0TGLP,569.263
4K39AFD,516.039
4KQ8VO6,523.482
4NSOFJG,575.848
4SJWPE0,518.047
4T821GV,587.969
4UAL23D,592.25
4ZR4GL4,493.974
5093ZHY,479.043
50TVADD,555.17
5AC6YRF,269.999
5DHNI4S,387.216
5HTE1IC,487.413
5OR8UGL,569.263
5OV4U4C,521.765
5PYA0N2,569.132
5QOCGMJ,592.25
5QTO800,582.036
5VK3U7Q,555.17
5XWBAKZ,479.043
5Y5V87D,506.654
64QSPWU,560.553
68KOZH6,522.834
6A90XDM,506.654
6BNXT5I,178.44
6BYSPD6,504.848
6CP0S10,571.301
6E6M9NN,523.482
6EAJWW6,493.974
6K0F6S9,587.969
6LJRHZ3,533.935
6OTRJQF,474.722
6Q68JYJ,569.132
6SV0XZ0,506.654
6VRO5T2,496.447
70OVULT,533.597
71YNY81,569.132
727J2TV,569.263
74A6FL0,506.654
74CTTH5,487.419
75BPNAM,513.522
77YRHPV,487.413
792705Z,471.207
7AKUBY4,496.859
7EHES8A,217.113
7HICT0R,590.558
7O594ZJ,569.132
7PRTR79,499.599
7QBQK9L,481.621
7T2W8WU,587.969
7YTZ0EM,442.496
812PNMZ,487.413
87QMHBI,204.209
87Z5O7Q,518.047
89VZ0E3,516.039
8EI7FOX,496.447
8FBHDH2,559.277
8FIZY1M,590.452
8ITYQ2Z,487.413
8LOVJZ3,569.263
8LSZDSC,569.263
8MX4B9C,487.419
8PA0RQ9,479.043
8PK91S2,569.132
8SB405D,582.036
8VPPU5N,490.953
8WHR0ZV,582.036
8YJIRQ2,587.969
8Z5P9T1,521.945
927BHUF,590.452
92BILMX,506.654
93GA3XB,474.722
93O3U6U,452.679
9484GS3,493.974
956JU5F,592.25
96FMXIF,504.848
9DFWVJX,550.645
9EXF4O5,560.553
9FQFQ91,257.095
9HDQLZ0,572.128
9LMPLRW,592.25
9NXZ103,582.036
9PORL0H,584.9
9VXCPYN,552.042
9WPSDH2,569.132
A0RUUQL,481.621
A31P11M,521.945
A3B2HGD,569.132
AAS3KXB,569.263
AEDN7D7,584.9
AEY24LO,472.93
AGD8UQ2,592.25
AJRKP0C,559.277
AQW5HO1,358.667
ASFER6E,442.496
AUFDV1E,560.553
AZ1BUKH,592.25
B1VWF3B,582.036
B3XNGYS,587.969
B6D0HHC,582.036
B8NRA4K,592.25
B9V4IAJ,572.128
BC5XKSB,569.263
BDDVLQE,569.132
BG1AFJU,569.132
BK0B4IL,197.748
BL0PD9J,492.647
BN3EJU4,548.918
BUJJNEA,548.918
C0RCCDP,587.969
C1ERJ22,560.553
C3K236I,587.969
C62YWEF,587.969
C6E7KMD,567.856
C6FASR5,496.447
C6JTJJC,565.698
CCMG98M,518.047
CJ0BLSW,487.413
CJJI1XY,575.848
CK5WH39,487.413
CRAU339,587.969
CTB99FS,565.698
CZBWW0Z,559.277
D1U6OOF,471.207
D3349RH,587.969
D5DGOZ9,571.301
D7SS5LM,569.132
DCB3LQM,364.425
DD8YXZF,548.918
DMGFH2Z,582.036
DRFEFT4,555.17
DRI712Q,569.132
DRNRL0M,516.039
DS4NLQE,571.301
DUKT4RG,521.945
DVQD3DE,521.945
DZABHQW,569.263
E4L0I98,592.25
E5D3KEB,569.132
EDXK0HP,569.132
EIIZE13,572.128
EJUD4D6,592.25
EK3DHQ6,569.132
EKVTVMV,569.132
EKZN1VM,569.132
EPX268G,287.456
ETFFDX5,487.419
EUXS47I,487.413
EVANFZB,487.413
EVFKBUY,126.172
EZG7A38,516.039
F055OA5,592.25
F14EJLW,582.036
F1LYCFO,569.132
F47NAGJ,592.25
F53D1DI,590.452
F5UCVMI,569.263
F8OXXG7,569.132
FHYWZ07,552.042
FKBUC13,476.405
FSOOCGH,499.599
FTX7LB8,504.848
FUPJ3Q2,69.493
FVZ3HQS,93.906
FWO1XRQ,506.654
G181X8F,548.918
G2LL3S8,493.974
G5753GU,522.834
G5UHNNF,560.537
G850GMA,548.918
G98H7FR,490.953
GBN0X51,565.948
GDVJYQW,569.263
GFX7S4B,504.848
GH5QX19,569.263
GLFV0XV,496.447
GMEHC97,569.263
GNGA5AC,521.765
GO93XEE,496.859
GPYNUA8,506.654
GRI93Z2,111.133
GU8ECHB,548.274
GUA17R4,516.039
GVQD9D6,523.482
GWTSM5V,472.93
GX2UELI,582.036
GZ48XRL,549.386
H48JVZQ,569.132
H7OMXI9,569.132
H8PYLH4,571.301
H8R7OJ2,326.505
H983665,575.848
H9QJECU,559.277
H9XYX9Q,499.599
HB933EE,539.311
HFQZU6J,549.386
HH4TZKC,572.744
HIUQ2RB,522.834
HL23AIZ,287.456
HM3QRDM,516.039
HN83F3L,510.525
HNEAFHF,574.917
HQ54B8O,499.599
HR19LL7,465.046
HSJ0WM7,539.311
I25JSGF,574.917
I2POO7A,550.645
I6G60AH,496.447
I8VWS8W,569.263
ICNJ23X,569.132
IEBUIXM,358.667
IH75D0V,549.386
IK67XHB,471.207
IKN5JDM,592.25
IMJY7S7,499.599
IQEYE3S,506.654
IQS1GLY,487.413
IUTMY1U,569.263
IV5F6YM,590.558
IXSLKS7,539.311
IY03OM4,269.999
J0SM52K,424.379
J151TEQ,549.386
J2L78G3,592.25
J6A19TW,592.25
J7MH0RF,587.969
J8FAZRB,587.969
JCFWX6E,510.525
JJGXEJ4,487.413
JKTV1QW,326.982
JNEJVKK,432.39
JRZWRIW,487.413
JT4HGZ2,569.263
JTY12HG,592.25
JUJL6W1,92.206
JW0WKQ9,382.55
JY8VL6C,325.523
JZGFZ7Z,493.974
K27GB0B,550.645
K2E55RT,487.413
K3N8ADC,574.917
K48Y5T9,569.263
KDFE19M,564.661
KFYGRO8,548.918
KL3QK6O,569.132
KL4UM68,471.207
KNG6Z86,569.132
KTXRGNX,420.492
KVOVDD8,592.25
KVQ5DMG,550.645
L2X64FB,569.263
L4CWZBU,548.918
L6EU3EB,565.948
LAZLJ7E,548.918
LC8FONX,592.25
LFUJ30W,506.654
LG58LKX,582.036
LK5JIX6,487.413
LLGN7DY,68.524
LNO3W8J,533.935
LO1OZJ0,552.042
LO3764F,189.854
LRCHHQJ,587.969
LUOD99L,587.969
LUOEP7G,493.974
LV4XGT5,409.051
LXZFSP3,521.945
M223F8G,542.207
M2KOUEK,523.482
M3INBBC,496.859
M43AKN2,539.311
M4U0X5G,569.132
MA3ZWVH,542.207
MC84I0T,569.263
MEOYV3B,569.132
MFUUB92,587.969
MJ9YER2,590.452
MM6HDEQ,539.311
MORJH71,471.207
MP664QK,569.132
MPGNI7M,569.132
MQE3R88,549.386
MRHTO2C,569.263
MRQ81XJ,569.263
MTPU2BE,518.047
MX8CVMX,569.263
N1MTRIJ,569.132
N5NO82G,572.128
N90YL69,533.935
N9A4I1K,571.301
NCMIGB7,584.9
NFEBWR6,148.802
NFUEAN5,549.386
NG4X2MD,471.207
NL4FSPV,582.036
NQSL7FX,237.008
NRWU3QW,493.974
NZUF7M4,420.492
O271SQN,506.654
OBXISZN,506.654
OCFS8ZD,569.263
OCR113O,518.047
OD60AK9,506.654
OFAXGKF,542.207
OHQYM1R,569.132
ON7Z6I0,569.263
OVJNYB2,533.935
OWCF2MH,471.207
P0XX6RS,516.039
P36URXV,387.216
P5N4Z0R,549.386
P66KAPS,592.25
P7RBBFB,493.974
P9PBFAJ,513.522
PCIQQ7E,569.263
PD4MTSH,493.974
PDDTLDP,565.698
PH8DIYU,555.17
PLZ8PGL,521.765
PRRLPFL,533.597
PRUSMVO,592.25
PV3AVCT,587.969
PXI00H9,83.557
Q03FQ74,569.263
Q0VL8BD,493.974
Q17B8NG,549.386
Q2HCM1O,549.386
Q2V2552,326.982
Q54XDYI,564.661
Q75ZW1Q,587.969
Q7OLWGV,587.969
Q9S9V3Q,592.25
QBSA1OR,575.848
QDRC5UW,506.654
QFRMXC4,552.042
QM4QKAZ,539.311
QORS7OP,569.263
QTT8QNT,582.036
QUHOO8R,590.452
QVZKPQD,442.496
QXDLKB7,569.263
R6JUSZT,559.277
RB56HQI,592.25
REN8XE5,569.132
RO046L9,592.25
RWSJ6AY,550.645
RY0TRQ8,493.974
RYJYAPI,521.945
RZK0UM0,510.525
S0B3CGQ,521.765
S200A1J,559.277
S2QPOTD,476.405
S4MOE5G,548.918
S55R1TY,522.834
S7S8GMD,582.036
S9PC5LR,564.661
SE831U7,516.039
SG89YSS,307.916
SJ29DQW,574.917
SJUWTEK,555.13
SNTDQP9,587.969
SPPGKO2,487.413
SQ0TZ3H,572.744
SQ3W7J8,569.263
SSS7BK6,569.132
SUP29NG,452.679
SY568EU,592.25
SZJISW0,569.132
T14JPJU,587.969
T182CUC,506.654
T1DB85Y,522.834
T64WM0N,592.25
T7XSLG6,587.969
TBPN1BF,592.25
TBYQ54D,590.558
TC7A716,569.132
TD8YB0R,506.654
TK9DSXW,522.834
TKB7K8T,420.492
TONSERE,569.132
TRTR582,592.25
U3KP57C,452.679
UABQ9EK,518.047
UAXX1ZE,587.969
UB5HE92,560.537
UCJGSIW,582.036
UEP9HM4,569.263
UHFPI9X,587.969
ULMQMUT,592.25
UUZT4OE,569.132
UXERJVK,510.525
UY59I9M,452.679
V19MLWF,548.918
V1BNX3D,513.522
V4ITGH1,472.93
V59S0GZ,569.263
V5A8ZZZ,471.207
V5PX6ZH,522.834
VBUCV9N,521.945
VHGABXK,522.834
VI1GKEJ,587.969
VMCY8BI,592.25
VO6FQAZ,569.132
VODEAWO,487.413
VPNLAYY,569.132
VTJ1O97,587.969
VU4GFO5,493.974
VUYACXV,569.263
VVJ158O,574.917
VWOSZKP,569.263
VXS8NZ1,550.645
W0EUG1C,569.132
W70WUF7,447.393
W8VXVR4,549.386
WAC029P,592.25
WE8VOFH,569.132
WELMR24,569.263
WG6X4Y0,493.974
WHW1BZK,539.311
WJBR1L2,506.654
WJXP54Z,592.25
WL17NEO,481.621
WLFBY9T,510.525
WO118LR,487.413
WOSAB94,548.274
WPD6G14,587.969
WRJK3P3,569.263
WS0J1CU,569.263
WTTU2KQ,435.293
WUGV4DU,590.558
WVXBO5X,569.263
WWFC10X,569.263
X17ILML,212.3
X4UA382,572.128
X9J910I,521.945
XB2TN3V,571.301
XBYNXP7,582.036
XFMDDJ7,587.969
XHKKOUG,571.301
XINDPM1,569.263
XKFABCI,510.525
XNUEEZN,590.558
XO4JYNU,513.522
XOCWI97,559.277
XPEXW89,569.132
XS7M5WZ,442.496
XTC73NQ,420.492
XTTWKZM,493.974
XTZ54JY,592.25
XW393UI,569.263
XYFQJ1Q,469.92
XZZ3D4U,487.413
Y4B7JOT,549.386
Y5Z7TXB,569.132
YAPO4I4,500.581
YEDB2ES,569.132
YEWTYV9,472.93
YF1XDKK,487.419
YGKOTWP,587.969
YGRV6SD,569.132
YLQRLAD,443.587
YM2J7ZE,472.93
YMQX3CJ,569.263
YNCIDMW,569.263
YQCBO2Y,506.654
YQRHLO2,510.525
YSM1T15,492.647
YU41XSB,560.537
YVR8GT6,521.945
Z13SS1G,539.311
Z2I5UQC,523.482
Z2OSI9E,533.935
Z4HC8K2,569.263
Z4VBV3L,587.969
ZAVM3PJ,114.361
ZCX0S5O,522.834
ZFMKTPH,549.386
ZL4WLO2,548.918
ZP9STNM,88.58
ZQJNJPJ,587.969
ZT6MOAL,487.413
